mid,gid
1007,3
1007,20
1008,6
1009,10
1009,21
1010,0
1010,6
1010,15
1011,6
1012,0
1012,6
1013,0
1013,11
1013,4
1014,0
1014,17
1015,10
1015,21
1016,1
1016,3
1016,4
1017,6
1017,2
1018,1
1018,10
1018,3
1019,0
1019,17
1020,0
1020,6
1020,10
1021,0
1022,0
1023,0
1023,15
1024,0
1025,0
1025,2
1026,0
1027,0
1028,0
1029,8
1029,4
1030,0
1030,9
1030,10
1030,11
1031,0
